answer_text	intent_texts
Здравствуйте.	здравствуйте|доброе утро|добрый день|добрый вечер|доброй ночи|привет|здрасте|здраствуйте|/start|Доброго времени|првиет|здравствуете|Дд|здравствуйте оператор
Вы можете самостоятельно удалить организацию со всеми данными через раздел Мои организации в меню SelSup. Для этого перейдите по ссылке:\nhttps://selsup.ru/application/organizations/\n\nСправа нажмите красный крестик для удаления организации. Вам на электронный адрес, указанный при регистрации придет письмо с кодом для удаления, который необходимо будет ввести в поле и подтвердить удаление организации.\nУдалить организацию может только основной аккаунт.	можно удалить профиль|как удалить ключи|Удалите меня
Напишите свой вопрос и если я не смогу вам ответить, то переведу на оператора. Если у вас произошла ошибка и вы хотите прикрепить скриншот - сначала напишите текст ошибки или что произошло	оператор|позови оператора|переключи на оператора|Задать вопрос оператору|Соедини с оператором|оператор нужен|есть здесь люди|опер|подключи оператора|Вопросы по работе с сервисом
На тестовом периоде работает тариф Эксперт, в котором по умолчанию включено 2 сотрудника, увеличить количество возможно только на платном тарифном плане. Изменить тариф, а так же ознакомиться с ценами вы можете в разделе:\nhttps://selsup.ru/application/tariffs/	как в тестовом периоде сделать больше сотрудников чем 2
Спасибо за обращение, были рады помочь	ок|спасибо|хорошо, спасибо|вроде нашел|уже не актуально|Попробую сегодня все сделать|Если возникнут вопросы то обращусь еще раз|все получилось|Всё, разобрался|Понял, отлично|Спасибо за помощь|Понял, спасибо|спасибо за инфо|сейчас попробую|Спасибр|Спасибо за ответ|сейчас почитаю|спс|Ясно|Преогромное спасибо|окей|Я продолжу работать|буду пробовать|Всё,отбой|Понятно|все появилось|спасибо за информацию|попробуем|оке|сейчас буду разбираться
Изменить фотографии в SelSup вы можете только, если они загружены в SelSup. По умолчанию при импорте карточек SelSup сохраняет только ссылки на фотографии и возможности по редактированию таких фотографий ограничены. Нажмите кнопку Загрузить фото в SelSup, чтобы они загрузились в SelSup. Обновите страницу и вы сможете изменять порядок фотографий, удалять фото и делать его главным для какого-то маркетплейса.\n\nЧтобы удалить фотографию нажмите красный крестик в правом верхнем углу фотографии	по какой причине невозможно заменить фото|как удалить выборочно фото в карточке
Вы можете установить Qz Tray по инструкции:\nhttps://selsup.ru/help/nastrojka-printera/\nСначала необходимо установить Java по ссылке:\nhttps://www.java.com/ru/download/\nПотом скачать и установить Qz Tray в зависимости от вашей операционной системы	слетел Oz Tray просьба почомь усновить его обратно|слетел Oz Tray просьба установить его обратно
Загрузить фотографии в карточке товара можно после ее сохранения. Появится поле "Перетащите изображения товаров или нажмите для выбора изображений на компьютере" и вы сможете нажать на него для выбора и загрузки фотографий	Возможности загрузки фото не увидел, возможно она как-то отдельно настраивается
Если при объединении карточек вы случайно неправильно объединили товары, то можете попробовать нажать кнопку удаления товара - красный крестик в товарах или корзина на карточке. При этом SelSup попытается полностью удалить товар. Полное удаление товара невозможно, если у вас уже есть заказы или приемки на склад для этого товара. В этом случае вам необходимо удалить из карточки неправильные штрих-коды или артикулы Ozon, Яндекс.Маркет, Aliexpress или СберМегаМаркет. После того, как вы удалили неправильные артикулы нажмите кнопку Найти и связать на карточке для каждого маркетплейса.\nПодробнее:\nhttps://selsup.ru/help/merge/	Как разъединить карточки если по ним уже были продажи?
Данная ошибка возникает, когда SelSup не может найти товар по артикулу маркетплейса или штрих-коду. Обычно такая ошибка возникает, если у вас не импортировались какие-то товары с маркетплейса или вы запускаете импорт заказов, а в SelSup не импортировали вновь созданные карточки.\nВ этом случае вам нужно перейти на страницу импорта товаров и попробовать запустить импорт карточек с соответствующего маркетплейса.\nhttps://selsup.ru/application/productsImport/	Невозможно импортировать заказы из-за отсутствия карточки
Если вы неправильно объединили товары в разделе Объединение карточек, то нужно либо удалить товар полностью, нажав красный крестик около товара на странице Товары или Объединение.\nhttps://selsup.ru/application/products\n\nЕсли при удалении пишет, что невозможно удалить товаров, то необходимо поправить карточку - удалив из нее неправильные штрих-коды или артикулы маркетплейсов Ozon, Яндекс.Маркет, Aliexpress, МегаМаркет.\nПодробнее: https://selsup.ru/help/razdelenie-nepravilno-obedinennyh-tovarov/\n\nЕсли у вас автоматически неправильно объединились карточки (такое возможно если у вас у разных товаров на разных маркетплейсах указан одинаковый артикул или штрих-код), то вы можете самостоятельно создать новую карточку в SelSup и проставить в ней правильный штрих-код и артикул маркетплейса, предварительно удалив его из другой карточки\n\nЕсли вы неправильно объединили карточки по остаткам в разделе Остатки на складе, то можно включить отображение дубликатов и в колонке Дубликат удалить неправильное объединение.\nhttps://selsup.ru/application/incomeOrders/	как разьеденить товары|как разъединить товары|если они неправильно соеденились|если они неправильно соединились|как разбъединить 2 товара|как разъединить 2 товара|подскажите как разьеденить это две разные карточки|подскажите как разъединить эти две разные карточки|Как разъединить объединенные товары|как разьединить обратно карточки|как разъединить обратно карточки|как разъединить неправильно объединённые товары
Вы можете объединить дубликаты между маркетплейсами через интерфейс объединения карточек:\nhttps://selsup.ru/application/productsImport/merge/\n\nСначала выбираете один товар - который хуже всего заполнен, нажимаете на иконку объединения. Потом на второй товар - на него перенесутся все данные.\nПодробнее: https://selsup.ru/help/merge/\n\nТак же вы можете запустить массовое объединение карточек, выбрав поля, которые совпадают у карточек нескольких маркетплейсов на странице:\nhttps://selsup.ru/application/productsImport/massMerge\n\nТак же можно перенести размеры и цвета на одну карточку:\n1)На карточке вводите новый артикул модели и появится кнопка объединения карточек. Нажмите на нее для объединения\n2)На карточке есть кнопка переноса цвета на другую карточку.\nПодробнее: \nhttps://selsup.ru/help/obedinenie-tovarov-na-odnu-kartochku-v-selsup/	как объединить один и тот же товар, но с разными артикулами|как объединить товары с разных маркетплейсов|он по разному создавался|Как объединить карточки-дубли|как объединить дубликаты
здесь уже все протестировано и работает! попробуйте в другом месте	test|тест
Напишите текст возникающей ошибки или опишите проблему подробнее. Пришлите ссылку на страницу, на которой она возникает	проблема технического плана
Редактирование фотографий доступно только когда вы их загрузите в SelSup. Нажмите кнопку Загрузить фотографии в SelSup, рядом с изображениями товаров, чтобы загрузить фото в SelSup. Так вы сможете удалять, менять порядок фотографий или делать какие-то фотографии основными для каких-то маркетплейсов.	как удалить 1 фото из карточки товара|как изменить фотографии в карточке товара
Вы можете заказать бесплатную демонстрацию оставив заявку:\nhttps://selsup.ru/demonstratsiya-selsup/\n\nИзучить работу программы с помощью наших видеоуроков\nhttps://selsup.ru/application/tutorials/\n\nНа каждой странице есть кнопка Помощь вверху страницы, которая ведет на помощь по странице, на которой вы находитесь\nТак же можете посмотреть видео на нашем канале:\nhttps://www.youtube.com/@selsup376\nили написать свой вопрос в данном чате\n\nСейчас действует акция Легкий старт за 10 000 рублей вы получаете внедрение нашей программы и до 5 часов консультаций со специалистом.\n\nЕсли вы не хотите оплачивать тариф, а просто посмотреть возможности сервиса, у нас есть услуга платного обучения 1 час за 2000 рублей в формате видео-конференции, где мы так же покажем возможности сервиса и проведем обучение. Оплатить его можно по ссылке:\nhttps://selsup.ru/application/tariffs/education	у меня есть ряд вопросов ,которые я хотел бы чтобы мне показали . как мне заказать услугу помощи ?|как мне заказать услугу помощи|обучение и настройка|есть ли У Вас возможность настроить нам наши магазины в Selsup и интеграцию|Платная настройка и обучение - какие условия|Заказать обучение и настройку|можно записаться на голосовую консультацию
Поставщиков можно заполнить файлом, а так же можно привязать файлом к товарам.\nДля этого зайдите в меню Закупки -> Поставщики перейдите на вкладку "База поставщиков" \nhttps://selsup.ru/application/contractors/base\nНа странице вы можете скачать шаблон для заполнения поставщиков, а дальше загрузить файл через кнопку Импортировать\n\nТак же можно массово добавить поставщиков к товарам. Для этого зайдите на страницу Закупки -> Импорт\nhttps://selsup.ru/application/productContractors/\nСкачайте файл с вашими товарами и в колонке Поставщик проставьте поставщика. Так же через этот файл можно удалить поставщиков для товаров проставив в колонке Удалить значение Да.\n\nЕщё можно зайти в Закупки - Поставщики - Привязка товаров к поставщику.\nВ карточке товара выбрать вкладку Поставщики - Привязать поставщика автоматом, если делаете на него закупку.	загрузить поставщиков файлом|для указания поставщиков файлом или только вручную можно заполнять
Напишите полный текст ошибки, которая возникает при сохранении карточки или ссылку на карточку товара в SelSup	Не получается сохранить карточку|проблемы с создание карточек|проблемы с созданием карточек
При оплате картой деньги поступают в течении нескольких минут и новый тариф активируется.	Как быстро после оплаты с карты деньги поступают и сервис разблокируется|Как быстро после оплаты с карты деньги поступают
напишите подробнее, у вас не работает импорт товаров, заказов или аналитики?	не работает интеграция
Импортировать только один товар с Озона нельзя. Только создать товар через SelSup, а дальше нажать кнопку Найти и связать на карточке товара.	как с озона добавить 1 товар|как с озона добавить один товар|Как импортировать один товар с озон в селсап
Нет, SelSup не импортирует изменения остатков на маркетплейсах и в следующий раз, когда SelSup отправит остатки - ваши изменения остатков на маркетплейсе потеряются. Вы можете так же оперативно изменять остатки на маркетплейсах через SelSup в интерфейсе:\nhttps://selsup.ru/application/stocks/\n\nТак же если вы хотите перенести остатки в SelSup, которые сделали на маркетплейсе, можете воспользоваться интерфейсом сверки остатков:\nhttps://selsup.ru/application/stockReconciliation/	если мы меняем остатки на маркетплейсах, в селсапе они поменяются
Маркетплейсы не отдают данные за весь период продаж, поэтому загрузить все данные SelSup не сможет. Для разных маркетплейсов период разный - для Wildberries, загрузятся данные за 3 месяца, для Ozon и Яндекс.Маркет дольше - до 1 года.	Если мы работаем с МП уже больше года, то при первичной настройке и синхронизации загрузится все данные за прошлый период
Для переноса карточек товаров между маркетплейсами сначала нужно импортировать карточки в SelSup.\nhttp://selsup.ru/application/productsImport/\n\nДалее необходимо заполнить связь категории с категорией нового маркетплейса (только для Озона, Wildberries, Яндекс.Маркет, Aliexpress, Авито) в категориях, для других маркетплейсов не нужно\nhttps://selsup.ru/application/categories/\n\nДля Озона, Aliexpress, Яндекс.Маркет, Авито нужно заполнить хотя бы одну карточку в категории через интерфейс, чтобы понять какие параметры указывать для маркетплейса.\n\nПосле чего выгрузить карточки товаров через Товары -> кнопка Экспорт, дозаполнить параметры (в основном для Ozon, Wildberries, Яндекс.Маркет, Авито и Aliexpress), протягивая значения из уже заполненной карточки - для других ничего не нужно. После чего загрузить файл в Товары -> Импорт, вкладка Файлом\nhttps://selsup.ru/application/productsImport/\n\nДля СберМегаМаркет просто проставьте ссылку на YML файл в кабинете СберМегаМаркет и он сам будет забирать данные о товарах. Ссылку вы найдете на странице интеграции:\nhttps://selsup.ru/application/integration/sbermegamarket\n\nНа тестовом периоде вы можете перенести не более 20 карточек.\n\nПодробнее читайте в разделе помощи: https://selsup.ru/help_cat/sozdanie-i-redaktirovanie-kartochek-tovarov/	как перенести карточки товаров|Нам необходимо перенести карточки товаров|как продулбилровать товары|как продублировать товары|как перенести товары с озон на вайлдберис
Для работы с принтерами необходимо установить программу QZ Tray. Данная программа позволяет работать SelSup с принтерами и правильно отправлять этикетки на нужный принтер.\nПеред установкой необходимо установить Java, пройдя по ссылке:\nhttps://www.java.com/ru/download/\n \nИнструкция по установки:\nhttps://selsup.ru/help/nastrojka-printera/	Как добавить принтер для печати
Для того чтобы перенести карточки в SelSup, необходимо перейти в "Товары" - "Импорт товаров" и запустить импорт карточек с соответствующего сервиса.\nhttps://selsup.ru/application/productsImport/\n\nВыберите вкладку, откуда вы хотите перенести данные и нажмите кнопку "Импортировать"\n\nПодробнее: https://selsup.ru/help/import/	что нужно чтобы загрузить карточки|как перенести карточки
Домен selsup.ru был зарегистрирован 31 октября 2018 года, когда SelSup был примерно годик.	сколько тебе лет
Акты загружаются напрямую с маркетплейсов, поэтому могут возникать задержки в загрузки актов. Попробуйте нажать кнопку Документы еще раз. Если не получится все равно - напишите номер поставки.	 не печатаются акты
Заказы автоматически импортируются в SelSup, если включена галочка Автоматический импорт заказов на странице Мои организации\nhttps://selsup.ru/application/organizations/\n\nВ этом случае включается робот, который раз в минуту забирает новые заказы с маркетплейсов и обновляет остатки на товары из этих заказов, если включена галочка Синхронизировать остатки\n\nВключать эти галочки, нужно только если вы полностью перенесли и проверили актуальность остатков в SelSup по инструкции:\nhttps://selsup.ru/help/perenos-ostatkov/	заказы на отгрузку обновляются только по кнопке "импортировать заказы"? без этого не обновляются?
Новая цена со скидкой не активна для Wildberries, тк на данном маркетплейсе устанавливается скидка, а не цена - поэтому произвольную цену нельзя поставить и для него необходимо выставлять Новую желаемую цену.\n\nДля других маркетплейсов поле может быть не активно из-за отсутствия связи с артикулом на данном маркетплейсе, из-за чего SelSup не может отправить новую цену.	В кабинете на сервисе не активна графа Новая цена со скидкой|В кабинете на сервисе не активна графа Новая цена со скидкой. Нет возможности вставить туда число
Вы можете скачать Excel файл с товарами на странице Товары:\nhttps://selsup.ru/application/products\n\nМассово заполнить параметры карточек, а потом отправить их на маркетплейс загрузив файл на старнице Товары -> кнопка Импорт, предварительно выбрав маркетплесы, в которые отправить карточки:\nhttps://selsup.ru/application/productsImport/\n\n	Возможно ли перенести карточки товаров, не заходя в каждую карточку товара|Возможно ли это сделать автоматизированно, т.е. не заходя в каждую карточку товара
Вы можете позвонить по телефону: +7(495)032-06-72 или заказать обратный звонок на сайте https://selsup.ru заполнив номер телефона по кнопке Задать вопрос.	как с вами можно связаться|как с вами связаться
Нет, такой функционал не доступен пока через API Wildberries	возможно ли с помощью вашего сервиса объединять карточки на WB|можно ли через вас объединить карточки на вайлдбериз
Да, через SelSup можно массово редактировать карточки на маркетплейсах.\nДля этого необходимо сначала импортировать карточки в SelSup\nhttps://selsup.ru/application/productsImport/\n\nДалее необходимо выгрузить карточки в Excel, через Товары -> кнопка Экспорт\nhttps://selsup.ru/application/products\n\nПосле чего поправить нужные вам параметры и загрузить обратно в SelSup, через Товары -> Импорт, указав нужные маркетплейсы, в которые отправить карточки\nhttps://selsup.ru/application/productsImport/\n\nПодробнее: https://selsup.ru/help/massovoe-redaktirovanie-opisaniya-wildberries-i-ozon/	Можно ли в SelSup массово редактировать карточки|как поменять штрих-код на всех товарах на другой
SelSup помогает участвовать в акциях и выбирать товары, с которыми вам выгодно участвовать в акциях. Для этого скачайте файл с рекомендованными ценами для участия в акциях и загрузите в разделе Товары -> Акции\nhttps://selsup.ru/application/promotions/\n\nВ ответ SelSup вернет вам файл, в котором будут проставлены колонки, по которым вы можете выбирать товары, с которыми вам выгодно участвовать в акции\n\nПодробнее: https://selsup.ru/help/promotions/	а где найти калькулятор акций|у вас есть калькулятор акций|вы рекомендуете цену для акции
SelSup может автоматически синхронизировать остатки по FBS на разных маркетплейсах, когда приходит заказ. Для этого необходимо сначала перенести остатки в SelSup\nhttps://selsup.ru/help/perenos-ostatkov/\n\nПосле переноса остатков включите галочки Синхронизировать остатки и Онлайн остатки для того, чтобы включить робота, который будет автоматически обновлять остатки по FBS, когда приходит новый заказ	Можно ли синхронизировать остатки если работаем с несколькими маркетплейсами
Проверьте несколько пунктов:\n1)У вас есть связь с нужным складом маркетплейса на странице склада:\nhttps://selsup.ru/application/warehouses/\n2)Зайдите на карточку, перейдите на вкладку Остатки FBS. Проверьте, отсутствие иконок в колонке Ошибка со значком маркетплейса или красных крестиков.\nhttps://selsup.ru/wp-content/uploads/2023/03/snimok-ekrana-2023-03-10-v-22.14.22.png\n3)Включите переключать обновлять на маркетплейсе. Попробуйте изменить остатки - нажав на иконку галочки и проверьте отсутствие ошибок при обновлении остатков\n4)Попробуйте запустить Импорт с обновлением остатков на странице, нажав на соответствующую кнопку:\nhttps://selsup.ru/application/fbsOrders/\nЕе нужно запускать, когда вы массово меняете остатки товаров, например через инвентаризацию и хотя бы раз в день, когда вы начинаете собирать заказы.\n5)Если ничего не помогло, напишите нам артикул с которым возникает проблема	не передаются остатки|не выгружаются остатки|У нас остатки на озон не выгружаются почему то
Карточка попадает в архив (удаленные), если вы нажимаете кнопку отправить в архив на странице Товары или в самой карточке. Так же в удаленные может попасть товар, если вы объединяли карточку с какой-то другой в интерфейсе Товары -> Объединение.\n\nВы можете восстановить такую карточку, нажав зеленую иконку убрать из архива в виде квадратика справа в списке Товары. Посмотреть удаленные товары вы можете по ссылке\nhttps://selsup.ru/application/products?deleted=true	Как могла карточка попасть в удаленные и как ее восстановить|Как могла карточка попасть в удаленные
Убрать вторую этикетку, при печати заказа в Ozon, можно в личном кабинете Озон. Для этого зайдите на страницу FBS -> Логистика в кабинете Ozon.\nhttps://seller.ozon.ru/app/warehouse\n\nНажмите три точки, где написано "Доставка Ozon ...", под кнопкой Добавить. Выберите пункт меню Редактировать метод. В открывшемся окне выключите галочку "Печатать лист подбора вместе с этикетками". Скачанные уже в SelSup этикетки не обновятся при этом, но последующие этикетки будут уже загружаться в новом формате	как убрать две этикетки озон|один из которых в итоге клеится на товар, а второй выкидывается. можем как-то попросить систему, печатать только первую страницу|печатать полько первый лист стикера Озон|печатать только первый лист стикера Озон
Нет, цены и набор услуг фиксируется при оплате подписки. По старой цене вы не сможете оплатить тариф	если я буду пролонгировать подписку цена останется прежней или по новым тарифам
Меня зовут SelSupBot	как тебя зовут|с кем я общаюсь|как к вам обращаться
Вы можете посмотреть архивные товары через раздел Товары -> кнопка Архив или перейти по ссылке\nhttps://selsup.ru/application/products?deleted=true\n\nТовары, которые добавлены в архив будут помечены зеленым квадратиком справа, с помощью которого товар можно восстановить.\n\nТак же вы можете массово восстановить товары из архива через раздел Товары кнопка Экспорт. Скачать Excel файл с товарами, проставить в колонке Архив значение Нет - для восстановления или Да для добавления в Архив. Загрузите файл обратно в разделе Товары -> Импорт:\nhttps://selsup.ru/application/productsImport/\n\nС помощью данного метода можно восстановить конкретные товары (размеры), которые добавлены в архив. Если в архив добавлен цвет или вся модель, восстановить товары можно на странице Товары, выбрав галочками нужные товары и нажав кнопку Восстановления их архива.\nhttps://selsup.ru/application/products	как восстановить удаленные товары|как вернуть товар если случайно нажал в архив|добавил товары в удалённые, где их теперь найти|где найти удалённые карточки в архив, то-есть не совсем удалённые
ждем	сейчас напишу
Если у вас включены галочки "Синхронизировать остатки" и "Онлайн остатки" на странице Мои организации, то робот загружает заказы раз в минуту и отправляет остатки на загруженные товары. Если вы пока не перенесли остатки в SelSup, то прочитайте инструкцию по переносу остатков и галочки:\nhttps://selsup.ru/help/perenos-ostatkov/\n\nБез включенных галочек заказы и остатки автоматически не загружаются в SelSup и необходимо нажимать кнопку Импортировать заказы или Импорт с обновлением остатков на странице Заказов со своего склада, чтобы новые заказы импортировались\nhttps://selsup.ru/application/fbsOrders/	как часто SelSup импортирует заказы|как быстро заказы упавшие в МП прогружаются
Привет наш хороший друг! Как я могу помочь?	привет друзья
Вы можете посмотреть Товарный остаток на дашборде главной страницы:\nhttps://selsup.ru/application/\nhttps://selsup.ru/wp-content/uploads/2023/01/snimok-ekrana-2023-01-11-v-11.14.12.png\n\nТак же товарный остаток можно посмотреть в аналитике\nhttps://selsup.ru/application/productCurrent/	как посмотреть сумму по себестоимости по всем остаткам|как посмотреть себестоимости по всем остаткам
Нет, SelSup никогда не удаляет товары на маркетплейсах, такой возможности сейчас нет в SelSup.	удаляя товары в selsup безвозвратно, они удаляются на маркет плейсе|можно ли удалять товары на маркетплейсах|При удалении карточки удаляются только на SelSup, а на маркетплэйсах остаются и ничего там не слетит
У нас есть интеграция с маркетплейсом МегаМаркет. Возможности API МегаМаркетом сейчас позволяют работать только с заказами и остатками (с очень ограниченным списком возможностей). Создание упрощенных товаров доступно через указание ссылки или загрузку YML файла в кабинете МегаМаркет.\n\nНастроить интеграцию вы можете по ссылке:\nhttps://selsup.ru/application/integration/sbermegamarket\n\nТак же у нас есть интеграция с Сбербанком для получения выписок и ведения финансового учета	со сбером вы не работаете|работаете ли вы со сбермегамаркет
напишите полностью текстом ошибку или уведомление	где это смотреть, как исправить
если будут проблемы, пишите	сейчас попробую на 20
да мы такие)	шустрые|быстрые
попробуйте, вам понравится)	звучит красиво
да, у вас все получится	буду разбираться
На тестовом периоде вы можете добавить только одну организацию. Добавление нескольких организаций не доступно на тестовом периоде. \n\nПри переходе на платный тариф вы можете добавить сколько угодно магазинов (у которых такие же ИНН/КПП) и организаций, указать у них разные ключи API магазинов или идентификаторы компаний (в Яндекс.Маркет), при этом юридическое лицо будет одно. У вас в интерфейсе в разных местах появится выбор организации для фильтрации\nhttps://selsup.ru/wp-content/uploads/2023/02/snimok-ekrana-2023-02-15-v-11.55.23.png	У меня несколько бизнес аккаунтов на Яндекс маркет, настроить интеграцию можно только с одним|два разных магазина точнее|как мне с маркетплейса с 2х магазинов отчеты подтягивать|как мне подключить 2 магазина с маркетплейса
Нет, к сожалению, на тестовом периоде доступна только 1 организация. Различия в функционале с несколькими организациями незначительные - у вас просто появятся фильтры по организации на многих страницах интерфейса.	А нельзя сделать тестово полный функционал? Чтобы я понял, подходит мне сервис или нет
опишите в чем у вас проблема? что конкретно настроить?	не могу настроить программу
Лист сборки может меняться только в зависимости от статуса заказа "На сборке". Если вы выбираете этот статус, то выгружаются заказы, которые отправлены в статус "На сборке". Если выбрать любой другой статус - лист сборки выгружает все заказы в статусе Новый и На сборке, которые нужно сегодня собирать. \n\nДля Wildberries это все заказы, для других маркетплейсов это заказы, которые соответствуют выбранной дате доставки.	Как получить лист сборки по определенному статусу товара
надеемся вам понравится)	тестирую ваш сервис
Отключить работу с маркетплейсов можно в разделе Интеграции. Зайдите на страницу с маркетплейсом и выключите галочку "Работать с маркетплейсом"\nhttps://selsup.ru/application/integration/	как отключить один из маркетплейсов|как отключить маркетплейс
